Estado,Ene,Feb,Mar,Abr,May,Jun,Jul,Ago,Sep,Oct,Nov,Dic,Anual
Aguascalientes,4.9,1.2,0.0,0.7,10.2,88.3,178.9,112.7,130.4,38.5,1.4,0.0,567.2
Baja California,2.1,14.3,1.5,0.2,0.0,0.0,18.5,161.5,122.6,7.6,1.6,1.9,331.8
Baja California Sur,2.1,14.3,1.5,0.2,0.0,0.0,18.5,161.5,122.6,7.6,1.6,1.9,331.8
Campeche,8.8,17.0,9.7,7.3,56.4,45.7,95.3,42.1,117.8,84.5,5.2,1.9,491.7
Ciudad de México,0.3,1.5,14.0,16.8,17.0,194.7,146.4,146.2,163.5,56.2,11.3,0.1,768.0
Coahuila,8.8,17.0,9.7,7.3,56.4,45.7,95.3,42.1,117.8,84.5,5.2,1.9,491.7
Colima,0.7,0.0,0.5,0.0,2.9,190.0,125.8,153.1,183.1,221.0,0.0,0.0,877.1
Chiapas,23.9,13.5,35.6,26.5,145.4,314.6,232.9,309.8,371.5,253.4,155.4,53.1,1935.6
Chihuahua,6.8,28.8,0.8,3.4,11.0,36.4,94.1,73.8,47.7,67.6,4.4,0.0,374.8
Durango,7.0,11.7,0.1,2.0,10.8,61.5,101.2,64.2,129.4,46.9,1.7,0.0,436.5
Guanajuato,15.0,3.0,0.1,2.1,31.1,141.3,236.1,174.4,242.4,68.5,7.3,0.1,921.4
Guerrero,0.3,0.0,1.4,1.5,16.7,251.0,195.4,192.7,237.8,135.1,8.2,0.4,1040.5
Hidalgo,15.0,7.2,4.1,21.3,32.9,106.9,89.5,96.7,151.6,77.3,19.0,2.5,624.0
Jalisco,2.7,1.6,0.1,0.4,11.4,150.9,192.5,134.4,171.0,66.0,4.9,0.0,735.9
Estado de México,2.1,0.7,5.0,14.5,17.6,154.7,130.7,141.8,161.0,65.4,14.5,0.0,708.0
Michoacán,10.7,0.9,0.4,9.9,18.8,143.9,212.0,187.7,210.0,67.8,10.2,0.0,872.3
Morelos,0.0,0.0,6.1,0.8,24.2,260.2,127.2,206.1,326.0,128.4,20.6,0.0,1099.6
Nayarit,0.2,8.5,0.0,0.0,0.0,85.8,212.9,244.7,413.7,53.1,0.0,0.0,1018.9
Nuevo León,26.6,7.7,13.8,18.1,68.3,79.4,68.7,80.2,228.1,140.3,17.7,15.4,764.3
Oaxaca,42.6,9.5,17.0,9.8,39.2,346.6,256.3,178.1,303.4,186.6,67.0,10.5,1466.6
Puebla,33.8,8.0,14.9,34.3,64.8,233.5,201.7,283.5,431.8,202.5,60.1,27.1,1596.0
Querétaro,6.4,0.2,0.3,9.0,18.4,98.1,151.9,173.5,273.8,69.0,2.6,0.1,803.3
Quintana Roo,31.6,108.3,41.0,26.6,67.0,346.5,154.1,169.5,194.7,238.9,127.9,46.5,1552.6
San Luis Potosí,25.3,7.2,7.2,20.3,39.3,60.7,135.0,124.3,253.0,168.7,24.6,10.3,875.9
Sinaloa,0.6,23.4,1.3,1.3,0.3,16.8,129.8,147.9,180.4,26.7,2.4,0.0,530.9
Sonora,0.7,37.5,6.1,2.0,2.2,10.0,69.5,85.9,68.9,20.5,5.3,1.3,309.9
Tabasco,78.4,36.3,64.7,22.6,120.9,217.4,143.5,270.5,234.9,331.0,436.5,119.4,2076.1
Tamaulipas,14.5,12.5,23.7,18.6,38.5,89.0,112.2,105.2,259.3,176.0,18.7,5.6,873.8
Tlaxcala,0.0,0.0,10.3,34.6,56.8,176.3,59.1,101.5,108.0,59.5,10.4,0.5,617.0
Veracruz,56.6,13.4,21.5,34.1,59.7,208.7,256.4,213.2,380.2,232.9,149.4,48.5,1674.6
Yucatán,5.1,11.1,56.2,28.7,40.0,175.8,122.5,132.4,99.3,111.9,52.2,16.3,851.5
Zacatecas,3.1,5.3,0.0,1.3,13.2,100.3,136.1,106.1,132.7,46.5,1.5,0.1,546.2
Nacional,13.0,18.9,12.5,10.1,34.3,115.0,133.8,133.7,172.8,107.7,33.8,10.5,796.1
