Estado,Ene,Feb,Mar,Abr,May,Jun,Jul,Ago,Sep,Oct,Nov,Dic,Anual
Aguascalientes,6.2,0.0,0.0,1.9,22.7,124.1,176.6,117.5,185.5,36.6,0.2,1.1,672.3
Baja California,26.8,1.3,14.1,1.4,0.0,0.2,3.0,7.5,3.8,3.0,0.7,37.3,99.1
Baja California Sur,12.2,0.2,0.1,0.0,0.0,9.4,10.8,53.5,53.7,6.6,3.3,23.7,173.5
Campeche,52.8,21.1,30.4,21.6,137.5,196.8,143.6,147.7,230.4,138.7,52.4,45.8,1218.7
Coahuila,3.5,4.6,0.2,10.9,37.3,34.1,55.7,43.0,24.1,12.0,16.2,5.0,246.5
Colima,0.7,0.0,0.0,0.0,2.5,691.7,249.6,705.1,443.7,187.0,0.2,0.2,2280.7
Chiapas,52.1,17.0,48.7,31.3,230.2,319.2,162.7,299.0,320.1,227.8,57.5,41.6,1807.2
Chihuahua,20.6,9.3,0.7,3.0,6.8,61.6,114.2,105.4,46.1,7.7,11.2,24.0,410.6
Ciudad de México,4.7,0.9,2.6,12.5,73.3,153.1,92.1,126.7,120.4,49.7,1.3,0.0,637.1
Durango,3.2,0.1,0.0,2.4,7.3,70.2,131.2,121.5,68.9,52.6,3.6,9.0,469.9
Guanajuato,4.8,0.2,0.2,3.8,62.0,137.3,148.6,170.3,201.8,47.0,1.8,2.6,780.3
Guerrero,2.9,0.2,1.3,0.9,64.6,323.5,153.8,345.8,240.5,142.1,2.5,0.4,1278.2
Hidalgo,12.6,4.6,10.0,27.1,53.1,131.2,62.0,135.7,119.1,52.0,21.4,3.6,632.4
Jalisco,1.1,0.3,0.0,0.8,17.1,234.3,256.4,271.0,235.6,87.6,1.4,0.8,1106.4
Estado de México,4.1,0.5,9.9,18.3,78.7,190.3,164.1,179.8,213.6,68.5,4.5,1.5,933.8
Michoacán,0.2,0.0,0.9,2.4,26.5,225.0,170.7,245.6,182.5,117.4,1.8,1.1,974.1
Morelos,13.4,0.1,13.8,3.3,148.4,413.1,228.7,404.9,467.6,95.4,6.3,0.1,1795.1
Nayarit,0.3,0.2,0.0,0.5,1.4,235.5,328.5,408.4,322.6,95.0,0.9,0.1,1393.1
Nuevo León,10.0,6.4,5.5,22.6,79.2,90.1,99.9,43.2,42.1,46.1,40.4,12.0,497.7
Oaxaca,26.0,8.8,5.0,16.9,122.8,318.9,132.1,231.1,249.7,94.6,25.0,5.9,1236.8
Puebla,33.0,7.2,14.1,31.5,147.5,243.7,135.7,231.7,265.0,101.2,36.5,5.4,1252.5
Querétaro,3.8,1.2,1.6,10.5,62.9,125.2,84.4,131.3,158.6,58.9,7.7,2.4,648.3
Quintana Roo,79.2,39.5,54.3,51.9,70.4,242.3,113.5,172.5,210.7,112.7,114.5,42.2,1303.7
San Luis Potosí,9.4,3.0,2.9,13.5,55.0,116.4,123.4,103.4,114.0,58.5,11.9,3.8,615.0
Sinaloa,14.9,0.6,0.0,0.8,3.2,107.3,184.0,391.7,141.9,71.3,4.2,33.1,952.9
Sonora,42.2,1.5,2.9,0.3,0.1,34.0,142.5,142.6,75.7,1.3,7.4,52.3,502.7
Tabasco,150.0,42.9,66.7,28.0,168.9,249.7,112.4,148.4,320.7,326.0,138.0,84.4,1836.1
Tamaulipas,17.3,13.3,10.5,16.5,99.9,116.5,168.8,52.5,97.4,81.5,53.5,12.6,740.2
Tlaxcala,11.9,0.6,2.0,18.8,77.4,130.7,96.2,130.6,165.2,69.1,7.1,0.5,710.0
Veracruz,85.0,25.4,22.7,32.1,103.5,276.7,140.9,236.9,218.3,225.4,109.2,24.9,1501.2
Yucatán,45.9,55.1,23.0,47.6,118.8,230.9,118.2,178.5,181.4,74.1,57.0,42.2,1172.6
Zacatecas,1.5,0.0,0.0,2.0,17.0,98.0,148.3,108.5,117.4,35.5,1.5,3.2,532.9
Nacional,23.7,7.9,8.4,11.0,51.3,137.5,128.8,157.0,133.0,67.4,23.2,20.4,769.5
