Estado,Ene,Feb,Mar,Abr,May,Jun,Jul,Ago,Sep,Oct,Nov,Dic,Anual
Aguascalientes,0.8,0.0,0.8,1.1,13.9,86.0,47.8,95.5,98.1,51.1,13.5,6.3,414.9
Baja California,3.0,56.1,0.4,6.0,0.7,1.1,0.0,1.0,0.4,0.7,12.4,33.6,115.4
Baja California Sur,0.6,0.7,0.0,0.0,0.1,0.9,4.1,36.8,100.0,71.1,0.3,11.0,225.6
Campeche,31.9,14.6,13.5,16.9,28.2,173.1,163.6,252.5,190.6,64.6,137.3,46.7,1133.5
Ciudad de México,13.2,6.8,8.6,5.9,41.7,86.3,103.6,143.0,227.8,72.1,0.7,3.4,713.1
Coahuila,1.7,1.5,17.7,18.6,55.3,34.9,20.8,22.6,91.3,26.5,21.2,18.7,330.8
Colima,2.0,0.0,0.0,0.0,8.2,125.6,154.8,182.9,159.6,213.4,0.0,13.9,860.4
Chiapas,47.0,18.5,29.0,27.0,168.1,369.0,214.5,333.7,300.0,245.9,142.0,58.4,1953.1
Chihuahua,8.2,0.7,9.9,0.1,33.1,69.6,106.1,95.0,57.2,66.5,12.1,10.4,468.9
Durango,2.3,0.3,2.4,1.8,31.3,76.5,88.7,121.4,123.9,54.6,4.6,11.6,519.4
Guanajuato,2.6,0.1,3.8,4.3,42.2,137.3,90.1,78.9,197.3,53.5,0.4,12.7,623.2
Guerrero,0.6,3.3,0.1,2.1,60.1,240.9,158.1,166.7,214.3,137.8,6.3,0.8,991.1
Hidalgo,21.0,19.7,8.6,5.3,74.6,79.7,46.8,97.3,247.3,145.3,18.4,26.4,790.4
Jalisco,4.2,0.0,1.0,1.3,40.0,129.4,147.4,142.8,155.2,66.3,6.9,9.2,703.7
Estado de México,10.0,5.2,9.8,3.6,57.3,108.6,98.6,123.0,216.1,87.7,1.7,4.1,725.7
Michoacán,6.6,1.1,2.6,1.9,56.6,134.3,153.2,133.6,207.3,61.7,0.3,6.4,765.6
Morelos,2.8,4.2,2.4,4.1,87.8,190.0,105.9,202.6,323.8,102.1,2.6,3.3,1031.6
Nayarit,0.0,0.0,0.0,0.0,15.5,249.7,251.1,296.0,215.3,131.6,47.2,74.8,1281.2
Nuevo León,13.5,12.3,7.9,16.5,43.9,21.5,32.2,37.5,167.1,61.9,48.1,20.7,483.1
Oaxaca,19.0,29.3,2.9,15.7,72.2,241.8,201.8,210.2,264.6,160.4,16.4,33.4,1267.7
Puebla,23.5,58.8,12.8,29.8,91.7,168.8,153.0,164.3,349.9,132.6,30.8,20.3,1236.3
Querétaro,10.7,0.8,4.2,1.2,40.7,88.3,59.4,77.4,125.8,63.0,2.0,16.5,490.0
Quintana Roo,66.4,26.6,22.3,12.0,86.5,172.2,65.3,81.2,117.8,152.4,243.3,54.8,1100.8
San Luis Potosí,12.3,16.3,16.4,4.7,65.9,90.4,55.8,132.9,305.7,152.2,30.9,67.5,951.0
Sinaloa,2.5,0.0,1.0,0.0,11.6,72.3,153.1,165.5,84.5,148.2,9.4,14.5,662.6
Sonora,7.8,6.1,4.8,0.2,11.1,40.8,108.0,95.7,70.8,85.8,5.9,7.9,444.9
Tabasco,152.2,48.3,44.0,72.8,97.0,176.8,114.5,248.2,251.0,158.7,255.5,111.5,1730.5
Tamaulipas,6.6,15.2,6.6,5.1,92.9,54.5,22.4,54.2,211.9,44.9,45.6,67.7,627.6
Tlaxcala,5.7,0.6,12.9,1.4,72.2,124.9,68.5,88.6,214.0,66.8,4.9,6.9,667.4
Veracruz,38.5,49.0,9.3,28.9,63.3,160.2,165.5,217.0,358.2,193.1,107.2,80.1,1470.3
Yucatán,21.9,7.7,13.3,6.3,32.8,111.1,84.6,124.6,115.4,39.9,132.3,46.4,736.3
Zacatecas,1.7,0.2,1.3,2.7,27.2,86.9,71.4,101.7,112.6,38.2,25.6,18.1,487.6
Nacional,13.5,11.5,8.3,8.3,46.7,105.7,101.3,121.4,153.4,89.2,37.2,26.9,723.4
